image_id,raw_text,confidence,status
doc_001_img_001,产品型号：P8828 额定电压：5V 额定功率：4W,0.82,success
doc_001_img_002,产品型号：P8828 额定电压：5V 额定功率：4W,0.71,partial
doc_001_img_003,产品型号：P8828 额定电压：5V 额定功率：4W,0.83,success
doc_001_img_004,产品型号：P8828 额定电压：5V 额定功率：4W,0.59,partial
doc_001_img_005,产品型号：P8828 额定电压：5V 额定功率：4W,0.74,partial
doc_001_img_006,产品型号：P8828 额定电压：5V 额定功率：4W,0.6,partial
doc_001_img_007,产品型号：P8828 额定电压：5V 额定功率：4W,0.69,partial
doc_001_img_008,产品型号：P8828 额定电压：5V 额定功率：4W,0.9,success
doc_001_img_009,产品型号：P8828 额定电压：5V 额定功率：4W,0.57,partial
doc_001_img_010,产品型号：P8828 额定电压：5V 额定功率：4W,0.56,partial
doc_001_img_011,产品型号：P8828 额定电压：5V 额定功率：4W,0.91,success
doc_001_img_012,产品型号：P8828 额定电压：5V 额定功率：4W,0.9,success
doc_001_img_013,产品型号：P8828 额定电压：5V 额定功率：4W,0.68,partial
doc_001_img_014,产品型号：P8828 额定电压：5V 额定功率：4W,0.84,success
doc_001_img_015,产品型号：P8828 额定电压：5V 额定功率：4W,0.95,success
doc_001_img_016,产品型号：P8828 额定电压：5V 额定功率：4W,0.76,partial
doc_001_img_017,产品型号：P8828 额定电压：5V 额定功率：4W,0.69,partial
doc_001_img_018,产品型号：P8828 额定电压：5V 额定功率：4W,0.89,success
doc_001_img_019,产品型号：P8828 额定电压：5V 额定功率：4W,0.68,partial
doc_001_img_020,产品型号：P8828 额定电压：5V 额定功率：4W,0.79,partial
doc_001_img_021,产品型号：P8828 额定电压：5V 额定功率：4W,0.86,success
doc_001_img_022,产品型号：P8828 额定电压：5V 额定功率：4W,0.6,partial
doc_001_img_023,产品型号：P8828 额定电压：5V 额定功率：4W,0.61,partial
doc_001_img_024,产品型号：P8828 额定电压：5V 额定功率：4W,0.68,partial
doc_001_img_025,产品型号：P8828 额定电压：5V 额定功率：4W,0.74,partial
doc_001_img_026,产品型号：P8828 额定电压：5V 额定功率：4W,0.59,partial
doc_001_img_027,产品型号：P8828 额定电压：5V 额定功率：4W,0.69,partial
doc_001_img_028,产品型号：P8828 额定电压：5V 额定功率：4W,0.83,success
